dtregistro;municipio;confirmados;suspeitos;obitos
20-03-2020;Francisco Beltrão;92;163;0
21-03-2020;Francisco Beltrão;127;244;1
22-03-2020;Francisco Beltrão;171;284;4
23-03-2020;Francisco Beltrão;73;133;1
24-03-2020;Francisco Beltrão;145;269;4
25-03-2020;Francisco Beltrão;145;276;4
26-03-2020;Francisco Beltrão;66;118;2
27-03-2020;Francisco Beltrão;98;179;2
28-03-2020;Francisco Beltrão;167;329;4
29-03-2020;Francisco Beltrão;152;288;2
30-03-2020;Francisco Beltrão;144;257;4
31-03-2020;Francisco Beltrão;53;102;1
01-04-2020;Francisco Beltrão;155;294;3
02-04-2020;Francisco Beltrão;171;320;1
03-04-2020;Francisco Beltrão;119;237;0
04-04-2020;Francisco Beltrão;48;79;1
05-04-2020;Francisco Beltrão;121;231;0
06-04-2020;Francisco Beltrão;126;236;2
07-04-2020;Francisco Beltrão;178;343;3
08-04-2020;Francisco Beltrão;178;305;1
09-04-2020;Francisco Beltrão;99;181;2
10-04-2020;Francisco Beltrão;98;179;0
11-04-2020;Francisco Beltrão;83;150;2
12-04-2020;Francisco Beltrão;117;187;1
13-04-2020;Francisco Beltrão;81;146;0
14-04-2020;Francisco Beltrão;132;234;2
15-04-2020;Francisco Beltrão;152;287;3
16-04-2020;Francisco Beltrão;98;194;1
17-04-2020;Francisco Beltrão;107;205;1
18-04-2020;Francisco Beltrão;130;215;0
19-04-2020;Francisco Beltrão;92;157;1
20-04-2020;Francisco Beltrão;145;237;4
21-04-2020;Francisco Beltrão;151;242;1
22-04-2020;Francisco Beltrão;118;218;3
23-04-2020;Francisco Beltrão;151;244;1
24-04-2020;Francisco Beltrão;128;219;2
25-04-2020;Francisco Beltrão;137;224;4
26-04-2020;Francisco Beltrão;181;336;2
27-04-2020;Francisco Beltrão;73;144;0
28-04-2020;Francisco Beltrão;46;84;1
29-04-2020;Francisco Beltrão;154;277;1
30-04-2020;Francisco Beltrão;146;235;3
01-05-2020;Francisco Beltrão;99;185;1
02-05-2020;Francisco Beltrão;142;253;3
03-05-2020;Francisco Beltrão;87;157;1
04-05-2020;Francisco Beltrão;90;159;0
05-05-2020;Francisco Beltrão;166;270;3
06-05-2020;Francisco Beltrão;170;338;3
07-05-2020;Francisco Beltrão;136;225;2
08-05-2020;Francisco Beltrão;89;176;2
09-05-2020;Francisco Beltrão;55;108;1
10-05-2020;Francisco Beltrão;121;236;3
11-05-2020;Francisco Beltrão;174;345;2
12-05-2020;Francisco Beltrão;169;274;3
13-05-2020;Francisco Beltrão;84;160;1
14-05-2020;Francisco Beltrão;61;120;1
15-05-2020;Francisco Beltrão;156;276;2
16-05-2020;Francisco Beltrão;120;239;1
17-05-2020;Francisco Beltrão;107;193;1
18-05-2020;Francisco Beltrão;158;307;3
19-05-2020;Francisco Beltrão;67;129;0
20-05-2020;Francisco Beltrão;93;174;2
21-05-2020;Francisco Beltrão;49;91;1
22-05-2020;Francisco Beltrão;172;284;4
23-05-2020;Francisco Beltrão;172;296;4
24-05-2020;Francisco Beltrão;150;295;1
25-05-2020;Francisco Beltrão;121;230;3
26-05-2020;Francisco Beltrão;91;177;2
27-05-2020;Francisco Beltrão;55;101;1
28-05-2020;Francisco Beltrão;73;123;0
29-05-2020;Francisco Beltrão;57;112;1
30-05-2020;Francisco Beltrão;123;214;3
31-05-2020;Francisco Beltrão;120;210;3
01-06-2020;Francisco Beltrão;79;156;1
02-06-2020;Francisco Beltrão;59;104;2
03-06-2020;Francisco Beltrão;65;110;1
04-06-2020;Francisco Beltrão;47;92;0
05-06-2020;Francisco Beltrão;165;312;1
06-06-2020;Francisco Beltrão;161;287;2
07-06-2020;Francisco Beltrão;52;96;0
08-06-2020;Francisco Beltrão;49;87;1
09-06-2020;Francisco Beltrão;131;222;0
10-06-2020;Francisco Beltrão;174;315;0
11-06-2020;Francisco Beltrão;58;94;2
12-06-2020;Francisco Beltrão;54;101;1
13-06-2020;Francisco Beltrão;126;214;0
14-06-2020;Francisco Beltrão;126;202;3
15-06-2020;Francisco Beltrão;151;289;4
16-06-2020;Francisco Beltrão;110;181;0
17-06-2020;Francisco Beltrão;112;199;3
18-06-2020;Francisco Beltrão;171;311;0
19-06-2020;Francisco Beltrão;106;177;1
20-06-2020;Francisco Beltrão;148;278;4
21-06-2020;Francisco Beltrão;166;327;3
22-06-2020;Francisco Beltrão;129;231;3
23-06-2020;Francisco Beltrão;168;284;2
24-06-2020;Francisco Beltrão;170;322;1
25-06-2020;Francisco Beltrão;150;279;2
26-06-2020;Francisco Beltrão;146;239;1
27-06-2020;Francisco Beltrão;67;130;1
28-06-2020;Francisco Beltrão;156;252;2
29-06-2020;Francisco Beltrão;160;290;2
30-06-2020;Francisco Beltrão;117;216;0
01-07-2020;Francisco Beltrão;166;309;4
02-07-2020;Francisco Beltrão;148;269;3
03-07-2020;Francisco Beltrão;59;99;1
04-07-2020;Francisco Beltrão;80;130;0
05-07-2020;Francisco Beltrão;88;155;2
06-07-2020;Francisco Beltrão;82;158;1
07-07-2020;Francisco Beltrão;133;253;3
08-07-2020;Francisco Beltrão;144;284;4
09-07-2020;Francisco Beltrão;175;309;2
10-07-2020;Francisco Beltrão;137;235;3
11-07-2020;Francisco Beltrão;97;188;1
12-07-2020;Francisco Beltrão;83;157;1
13-07-2020;Francisco Beltrão;163;305;1
14-07-2020;Francisco Beltrão;158;295;0
15-07-2020;Francisco Beltrão;139;253;4
16-07-2020;Francisco Beltrão;107;177;3
17-07-2020;Francisco Beltrão;85;144;0
18-07-2020;Francisco Beltrão;140;256;4
19-07-2020;Francisco Beltrão;176;301;2
20-07-2020;Francisco Beltrão;115;195;1
21-07-2020;Francisco Beltrão;119;222;3
22-07-2020;Francisco Beltrão;91;170;2
23-07-2020;Francisco Beltrão;49;94;0
24-07-2020;Francisco Beltrão;107;212;2
25-07-2020;Francisco Beltrão;175;341;1
26-07-2020;Francisco Beltrão;50;88;0
27-07-2020;Francisco Beltrão;100;188;2
28-07-2020;Francisco Beltrão;129;223;3
29-07-2020;Francisco Beltrão;153;273;3
30-07-2020;Francisco Beltrão;52;84;1
31-07-2020;Francisco Beltrão;66;129;1
01-08-2020;Francisco Beltrão;147;285;4
02-08-2020;Francisco Beltrão;138;273;2
03-08-2020;Francisco Beltrão;115;198;1
04-08-2020;Francisco Beltrão;108;213;1
05-08-2020;Francisco Beltrão;150;286;4
06-08-2020;Francisco Beltrão;123;223;0
07-08-2020;Francisco Beltrão;150;271;1
08-08-2020;Francisco Beltrão;105;182;0
09-08-2020;Francisco Beltrão;144;265;2
10-08-2020;Francisco Beltrão;91;180;0
11-08-2020;Francisco Beltrão;176;335;3
12-08-2020;Francisco Beltrão;166;296;1
13-08-2020;Francisco Beltrão;138;250;3
14-08-2020;Francisco Beltrão;172;334;3
15-08-2020;Francisco Beltrão;124;244;0
16-08-2020;Francisco Beltrão;56;101;1
17-08-2020;Francisco Beltrão;136;243;1
18-08-2020;Francisco Beltrão;141;230;2
19-08-2020;Francisco Beltrão;66;111;1
20-08-2020;Francisco Beltrão;69;115;0
21-08-2020;Francisco Beltrão;72;138;2
22-08-2020;Francisco Beltrão;145;276;1
23-08-2020;Francisco Beltrão;167;272;5
24-08-2020;Francisco Beltrão;92;173;0
25-08-2020;Francisco Beltrão;163;324;1
26-08-2020;Francisco Beltrão;145;253;3
27-08-2020;Francisco Beltrão;88;148;2
28-08-2020;Francisco Beltrão;176;352;1
29-08-2020;Francisco Beltrão;49;90;1
30-08-2020;Francisco Beltrão;141;227;4
31-08-2020;Francisco Beltrão;79;147;1
01-09-2020;Francisco Beltrão;138;273;3
02-09-2020;Francisco Beltrão;178;295;1
03-09-2020;Francisco Beltrão;138;240;2
04-09-2020;Francisco Beltrão;62;100;1
05-09-2020;Francisco Beltrão;83;159;0
06-09-2020;Francisco Beltrão;165;305;3
07-09-2020;Francisco Beltrão;131;258;2
08-09-2020;Francisco Beltrão;108;185;0
09-09-2020;Francisco Beltrão;99;172;1
10-09-2020;Francisco Beltrão;57;101;0
11-09-2020;Francisco Beltrão;133;221;3
12-09-2020;Francisco Beltrão;179;357;0
13-09-2020;Francisco Beltrão;151;269;2
14-09-2020;Francisco Beltrão;169;326;1
15-09-2020;Francisco Beltrão;76;132;1
16-09-2020;Francisco Beltrão;134;217;2
17-09-2020;Francisco Beltrão;66;119;2
18-09-2020;Francisco Beltrão;141;228;4
19-09-2020;Francisco Beltrão;72;143;2
20-09-2020;Francisco Beltrão;48;91;1
21-09-2020;Francisco Beltrão;70;124;2
22-09-2020;Francisco Beltrão;161;305;1
23-09-2020;Francisco Beltrão;125;219;3
24-09-2020;Francisco Beltrão;82;153;2
25-09-2020;Francisco Beltrão;180;331;3
26-09-2020;Francisco Beltrão;70;120;1
27-09-2020;Francisco Beltrão;152;246;4
28-09-2020;Francisco Beltrão;121;211;3
29-09-2020;Francisco Beltrão;173;331;4
30-09-2020;Francisco Beltrão;54;99;0
01-10-2020;Francisco Beltrão;173;310;3
02-10-2020;Francisco Beltrão;61;115;1
03-10-2020;Francisco Beltrão;173;326;5
04-10-2020;Francisco Beltrão;49;94;0
05-10-2020;Francisco Beltrão;180;309;2
06-10-2020;Francisco Beltrão;62;122;2
07-10-2020;Francisco Beltrão;71;140;1
08-10-2020;Francisco Beltrão;177;350;2
09-10-2020;Francisco Beltrão;129;245;1
10-10-2020;Francisco Beltrão;66;121;2
11-10-2020;Francisco Beltrão;66;113;0
12-10-2020;Francisco Beltrão;170;292;1
13-10-2020;Francisco Beltrão;79;143;1
14-10-2020;Francisco Beltrão;152;282;2
15-10-2020;Francisco Beltrão;153;268;3
16-10-2020;Francisco Beltrão;153;271;1
17-10-2020;Francisco Beltrão;70;140;2
18-10-2020;Francisco Beltrão;128;211;2
19-10-2020;Francisco Beltrão;172;323;2
20-10-2020;Francisco Beltrão;90;169;2
21-10-2020;Francisco Beltrão;105;191;1
22-10-2020;Francisco Beltrão;129;215;2
23-10-2020;Francisco Beltrão;99;167;1
24-10-2020;Francisco Beltrão;99;196;2
25-10-2020;Francisco Beltrão;155;277;2
26-10-2020;Francisco Beltrão;163;282;1
27-10-2020;Francisco Beltrão;124;211;2
28-10-2020;Francisco Beltrão;92;169;0
29-10-2020;Francisco Beltrão;95;170;2
30-10-2020;Francisco Beltrão;96;176;0
31-10-2020;Francisco Beltrão;164;287;0
01-11-2020;Francisco Beltrão;67;133;1
02-11-2020;Francisco Beltrão;88;169;2
03-11-2020;Francisco Beltrão;132;249;4
04-11-2020;Francisco Beltrão;105;191;3
05-11-2020;Francisco Beltrão;174;289;4
06-11-2020;Francisco Beltrão;162;315;5
07-11-2020;Francisco Beltrão;176;325;5
08-11-2020;Francisco Beltrão;142;235;1
09-11-2020;Francisco Beltrão;51;83;1
10-11-2020;Francisco Beltrão;67;122;1
11-11-2020;Francisco Beltrão;55;104;1
12-11-2020;Francisco Beltrão;174;302;2
13-11-2020;Francisco Beltrão;163;322;2
14-11-2020;Francisco Beltrão;90;152;1
15-11-2020;Francisco Beltrão;90;168;1
16-11-2020;Francisco Beltrão;155;287;3
17-11-2020;Francisco Beltrão;48;84;1
18-11-2020;Francisco Beltrão;97;184;2
19-11-2020;Francisco Beltrão;174;283;1
20-11-2020;Francisco Beltrão;126;238;2
21-11-2020;Francisco Beltrão;111;216;2
22-11-2020;Francisco Beltrão;70;119;1
23-11-2020;Francisco Beltrão;156;304;4
24-11-2020;Francisco Beltrão;97;175;1
25-11-2020;Francisco Beltrão;133;233;2
26-11-2020;Francisco Beltrão;88;152;2
27-11-2020;Francisco Beltrão;99;191;3
28-11-2020;Francisco Beltrão;172;323;5
29-11-2020;Francisco Beltrão;94;161;2
30-11-2020;Francisco Beltrão;56;110;1
01-12-2020;Francisco Beltrão;129;255;0
02-12-2020;Francisco Beltrão;172;285;1
03-12-2020;Francisco Beltrão;108;199;2
04-12-2020;Francisco Beltrão;119;202;3
05-12-2020;Francisco Beltrão;116;211;1
06-12-2020;Francisco Beltrão;91;172;0
07-12-2020;Francisco Beltrão;111;190;0
08-12-2020;Francisco Beltrão;61;118;2
09-12-2020;Francisco Beltrão;118;194;1
10-12-2020;Francisco Beltrão;59;100;1
11-12-2020;Francisco Beltrão;86;154;2
12-12-2020;Francisco Beltrão;104;184;2
13-12-2020;Francisco Beltrão;53;98;1
14-12-2020;Francisco Beltrão;160;289;3
15-12-2020;Francisco Beltrão;162;314;1
16-12-2020;Francisco Beltrão;126;216;2
17-12-2020;Francisco Beltrão;117;216;0
18-12-2020;Francisco Beltrão;141;278;3
19-12-2020;Francisco Beltrão;77;148;2
20-12-2020;Francisco Beltrão;48;83;1
21-12-2020;Francisco Beltrão;148;239;0
22-12-2020;Francisco Beltrão;141;279;3
23-12-2020;Francisco Beltrão;138;239;1
24-12-2020;Francisco Beltrão;152;264;1
25-12-2020;Francisco Beltrão;157;277;4
26-12-2020;Francisco Beltrão;51;97;1
27-12-2020;Francisco Beltrão;154;253;1
28-12-2020;Francisco Beltrão;61;110;1
29-12-2020;Francisco Beltrão;154;258;3
30-12-2020;Francisco Beltrão;142;282;3
31-12-2020;Francisco Beltrão;92;165;2
01-01-2021;Francisco Beltrão;110;182;3
02-01-2021;Francisco Beltrão;63;112;0
03-01-2021;Francisco Beltrão;88;170;2
04-01-2021;Francisco Beltrão;136;224;2
05-01-2021;Francisco Beltrão;104;198;2
06-01-2021;Francisco Beltrão;65;106;1
07-01-2021;Francisco Beltrão;85;168;2
08-01-2021;Francisco Beltrão;109;192;2
09-01-2021;Francisco Beltrão;99;198;2
10-01-2021;Francisco Beltrão;170;278;2
11-01-2021;Francisco Beltrão;54;101;1
12-01-2021;Francisco Beltrão;138;258;1
13-01-2021;Francisco Beltrão;155;256;2
14-01-2021;Francisco Beltrão;155;250;3
15-01-2021;Francisco Beltrão;135;244;1
16-01-2021;Francisco Beltrão;73;141;2
17-01-2021;Francisco Beltrão;112;199;0
18-01-2021;Francisco Beltrão;109;192;2
19-01-2021;Francisco Beltrão;106;192;3
20-01-2021;Francisco Beltrão;120;219;0
21-01-2021;Francisco Beltrão;78;140;1
22-01-2021;Francisco Beltrão;51;83;1
23-01-2021;Francisco Beltrão;108;181;3
24-01-2021;Francisco Beltrão;112;206;2
25-01-2021;Francisco Beltrão;98;179;2
26-01-2021;Francisco Beltrão;93;185;1
27-01-2021;Francisco Beltrão;75;134;2
28-01-2021;Francisco Beltrão;65;125;1
29-01-2021;Francisco Beltrão;113;200;3
30-01-2021;Francisco Beltrão;90;174;1
31-01-2021;Francisco Beltrão;49;90;0
01-02-2021;Francisco Beltrão;173;302;1
02-02-2021;Francisco Beltrão;101;188;2
03-02-2021;Francisco Beltrão;165;328;3
04-02-2021;Francisco Beltrão;113;219;3
05-02-2021;Francisco Beltrão;128;232;1
06-02-2021;Francisco Beltrão;68;117;2
07-02-2021;Francisco Beltrão;142;241;3
08-02-2021;Francisco Beltrão;162;320;0
09-02-2021;Francisco Beltrão;148;241;2
10-02-2021;Francisco Beltrão;60;107;1
11-02-2021;Francisco Beltrão;88;148;1
12-02-2021;Francisco Beltrão;142;239;2
13-02-2021;Francisco Beltrão;141;236;1
14-02-2021;Francisco Beltrão;168;312;4
15-02-2021;Francisco Beltrão;154;262;2
16-02-2021;Francisco Beltrão;146;240;2
17-02-2021;Francisco Beltrão;78;135;2
18-02-2021;Francisco Beltrão;140;231;0
19-02-2021;Francisco Beltrão;76;132;1
20-02-2021;Francisco Beltrão;104;170;0
21-02-2021;Francisco Beltrão;175;303;1
22-02-2021;Francisco Beltrão;128;207;0
23-02-2021;Francisco Beltrão;116;192;3
24-02-2021;Francisco Beltrão;115;225;1
25-02-2021;Francisco Beltrão;118;197;0
26-02-2021;Francisco Beltrão;77;123;1
27-02-2021;Francisco Beltrão;64;119;1
28-02-2021;Francisco Beltrão;171;339;4
01-03-2021;Francisco Beltrão;91;154;1
02-03-2021;Francisco Beltrão;159;271;2
03-03-2021;Francisco Beltrão;161;296;1
04-03-2021;Francisco Beltrão;88;166;3
05-03-2021;Francisco Beltrão;55;110;1
06-03-2021;Francisco Beltrão;85;170;1
07-03-2021;Francisco Beltrão;128;229;2
08-03-2021;Francisco Beltrão;120;198;0
09-03-2021;Francisco Beltrão;79;143;1
10-03-2021;Francisco Beltrão;150;241;1
11-03-2021;Francisco Beltrão;134;246;2
12-03-2021;Francisco Beltrão;93;152;2
13-03-2021;Francisco Beltrão;122;199;2
14-03-2021;Francisco Beltrão;61;115;1
15-03-2021;Francisco Beltrão;162;270;1
16-03-2021;Francisco Beltrão;94;159;3
17-03-2021;Francisco Beltrão;172;327;2
18-03-2021;Francisco Beltrão;146;290;3
19-03-2021;Francisco Beltrão;72;126;0
20-03-2021;Francisco Beltrão;131;244;3
21-03-2021;Francisco Beltrão;99;168;2
22-03-2021;Francisco Beltrão;154;273;2
23-03-2021;Francisco Beltrão;176;311;4
24-03-2021;Francisco Beltrão;126;235;3
25-03-2021;Francisco Beltrão;95;187;3
26-03-2021;Francisco Beltrão;85;166;1
27-03-2021;Francisco Beltrão;62;119;2
28-03-2021;Francisco Beltrão;96;176;1
29-03-2021;Francisco Beltrão;112;213;2
30-03-2021;Francisco Beltrão;105;185;0
31-03-2021;Francisco Beltrão;94;187;3
01-04-2021;Francisco Beltrão;74;135;2
02-04-2021;Francisco Beltrão;166;310;1
03-04-2021;Francisco Beltrão;68;122;0
04-04-2021;Francisco Beltrão;132;257;1
05-04-2021;Francisco Beltrão;106;178;1
06-04-2021;Francisco Beltrão;159;304;0
07-04-2021;Francisco Beltrão;137;230;2
08-04-2021;Francisco Beltrão;117;225;3
09-04-2021;Francisco Beltrão;51;99;1
10-04-2021;Francisco Beltrão;164;263;3
11-04-2021;Francisco Beltrão;151;254;4
12-04-2021;Francisco Beltrão;168;278;1
13-04-2021;Francisco Beltrão;90;172;2
14-04-2021;Francisco Beltrão;76;149;2
15-04-2021;Francisco Beltrão;166;327;1
16-04-2021;Francisco Beltrão;112;211;3
17-04-2021;Francisco Beltrão;75;121;2
18-04-2021;Francisco Beltrão;121;220;3
19-04-2021;Francisco Beltrão;108;208;1
20-04-2021;Francisco Beltrão;161;308;0
21-04-2021;Francisco Beltrão;120;196;2
22-04-2021;Francisco Beltrão;110;180;2
23-04-2021;Francisco Beltrão;164;290;0
24-04-2021;Francisco Beltrão;117;214;1
25-04-2021;Francisco Beltrão;92;170;0
26-04-2021;Francisco Beltrão;81;146;2
27-04-2021;Francisco Beltrão;157;266;2
28-04-2021;Francisco Beltrão;134;256;2
29-04-2021;Francisco Beltrão;160;260;1
30-04-2021;Francisco Beltrão;128;243;2
01-05-2021;Francisco Beltrão;182;293;2
02-05-2021;Francisco Beltrão;74;136;1
03-05-2021;Francisco Beltrão;170;295;5
04-05-2021;Francisco Beltrão;178;338;4
05-05-2021;Francisco Beltrão;49;91;1
06-05-2021;Francisco Beltrão;149;242;0
07-05-2021;Francisco Beltrão;52;93;1
08-05-2021;Francisco Beltrão;155;265;1
09-05-2021;Francisco Beltrão;111;179;1
10-05-2021;Francisco Beltrão;168;315;2
11-05-2021;Francisco Beltrão;51;99;1
12-05-2021;Francisco Beltrão;54;97;1
13-05-2021;Francisco Beltrão;56;109;0
14-05-2021;Francisco Beltrão;49;80;0
15-05-2021;Francisco Beltrão;172;324;0
16-05-2021;Francisco Beltrão;108;193;0
17-05-2021;Francisco Beltrão;57;98;1
18-05-2021;Francisco Beltrão;59;96;1
19-05-2021;Francisco Beltrão;91;150;0
20-05-2021;Francisco Beltrão;117;193;1
21-05-2021;Francisco Beltrão;94;162;2
22-05-2021;Francisco Beltrão;93;174;0
23-05-2021;Francisco Beltrão;95;179;1
24-05-2021;Francisco Beltrão;103;183;2
25-05-2021;Francisco Beltrão;100;196;0
26-05-2021;Francisco Beltrão;140;235;3
27-05-2021;Francisco Beltrão;135;237;4
28-05-2021;Francisco Beltrão;98;178;1
29-05-2021;Francisco Beltrão;89;160;0
30-05-2021;Francisco Beltrão;67;113;1
31-05-2021;Francisco Beltrão;96;158;2
01-06-2021;Francisco Beltrão;81;148;0
02-06-2021;Francisco Beltrão;120;195;2
03-06-2021;Francisco Beltrão;71;139;2
04-06-2021;Francisco Beltrão;93;163;2
05-06-2021;Francisco Beltrão;79;133;2
06-06-2021;Francisco Beltrão;90;149;1
07-06-2021;Francisco Beltrão;82;145;0
08-06-2021;Francisco Beltrão;100;170;1
09-06-2021;Francisco Beltrão;71;118;2
10-06-2021;Francisco Beltrão;168;283;3
11-06-2021;Francisco Beltrão;91;156;2
12-06-2021;Francisco Beltrão;137;268;0
13-06-2021;Francisco Beltrão;127;204;0
14-06-2021;Francisco Beltrão;126;218;3
15-06-2021;Francisco Beltrão;85;170;1
16-06-2021;Francisco Beltrão;58;99;1
17-06-2021;Francisco Beltrão;95;167;1
18-06-2021;Francisco Beltrão;153;263;5
19-06-2021;Francisco Beltrão;60;99;1
20-06-2021;Francisco Beltrão;54;101;0
21-06-2021;Francisco Beltrão;94;151;0
22-06-2021;Francisco Beltrão;66;115;0
23-06-2021;Francisco Beltrão;52;98;1
24-06-2021;Francisco Beltrão;96;189;3
25-06-2021;Francisco Beltrão;59;112;1
26-06-2021;Francisco Beltrão;80;134;0
27-06-2021;Francisco Beltrão;159;307;3
28-06-2021;Francisco Beltrão;92;156;3
29-06-2021;Francisco Beltrão;172;316;2
30-06-2021;Francisco Beltrão;119;192;1
01-07-2021;Francisco Beltrão;141;246;2
02-07-2021;Francisco Beltrão;94;186;0
03-07-2021;Francisco Beltrão;59;97;1
04-07-2021;Francisco Beltrão;126;230;1
05-07-2021;Francisco Beltrão;67;119;1
06-07-2021;Francisco Beltrão;52;96;1
07-07-2021;Francisco Beltrão;96;160;2
08-07-2021;Francisco Beltrão;161;317;2
09-07-2021;Francisco Beltrão;62;112;1
10-07-2021;Francisco Beltrão;168;308;2
11-07-2021;Francisco Beltrão;170;330;4
12-07-2021;Francisco Beltrão;138;250;4
13-07-2021;Francisco Beltrão;146;260;3
14-07-2021;Francisco Beltrão;98;192;1
15-07-2021;Francisco Beltrão;74;143;2
16-07-2021;Francisco Beltrão;87;160;1
17-07-2021;Francisco Beltrão;62;111;1
18-07-2021;Francisco Beltrão;151;287;2
19-07-2021;Francisco Beltrão;140;264;3
20-07-2021;Francisco Beltrão;132;237;0
21-07-2021;Francisco Beltrão;143;264;3
22-07-2021;Francisco Beltrão;152;291;3
23-07-2021;Francisco Beltrão;106;176;0
24-07-2021;Francisco Beltrão;47;90;0
25-07-2021;Francisco Beltrão;164;292;4
26-07-2021;Francisco Beltrão;46;83;1
27-07-2021;Francisco Beltrão;76;149;2
28-07-2021;Francisco Beltrão;172;276;5
29-07-2021;Francisco Beltrão;147;259;4
30-07-2021;Francisco Beltrão;153;294;3
31-07-2021;Francisco Beltrão;181;325;4
01-08-2021;Francisco Beltrão;135;243;1
02-08-2021;Francisco Beltrão;93;159;1
03-08-2021;Francisco Beltrão;62;118;1
04-08-2021;Francisco Beltrão;89;172;0
05-08-2021;Francisco Beltrão;93;163;0
06-08-2021;Francisco Beltrão;66;125;2
07-08-2021;Francisco Beltrão;96;166;2
08-08-2021;Francisco Beltrão;152;282;1
09-08-2021;Francisco Beltrão;152;247;2
10-08-2021;Francisco Beltrão;46;78;1
11-08-2021;Francisco Beltrão;109;201;1
12-08-2021;Francisco Beltrão;85;159;0
13-08-2021;Francisco Beltrão;90;148;2
14-08-2021;Francisco Beltrão;144;279;4
15-08-2021;Francisco Beltrão;138;263;2
16-08-2021;Francisco Beltrão;159;267;1
17-08-2021;Francisco Beltrão;91;179;0
18-08-2021;Francisco Beltrão;133;243;2
19-08-2021;Francisco Beltrão;160;283;3
20-08-2021;Francisco Beltrão;167;275;1
21-08-2021;Francisco Beltrão;123;226;3
22-08-2021;Francisco Beltrão;98;179;1
23-08-2021;Francisco Beltrão;163;319;5
24-08-2021;Francisco Beltrão;114;206;2
25-08-2021;Francisco Beltrão;148;279;1
26-08-2021;Francisco Beltrão;126;240;0
27-08-2021;Francisco Beltrão;76;124;0
28-08-2021;Francisco Beltrão;134;246;1
29-08-2021;Francisco Beltrão;139;265;4
30-08-2021;Francisco Beltrão;162;261;0
31-08-2021;Francisco Beltrão;113;209;2
01-09-2021;Francisco Beltrão;170;310;3
02-09-2021;Francisco Beltrão;62;107;0
03-09-2021;Francisco Beltrão;174;307;5
04-09-2021;Francisco Beltrão;49;92;1
05-09-2021;Francisco Beltrão;123;204;3
06-09-2021;Francisco Beltrão;99;170;0
07-09-2021;Francisco Beltrão;177;301;3
08-09-2021;Francisco Beltrão;118;224;3
09-09-2021;Francisco Beltrão;159;272;0
10-09-2021;Francisco Beltrão;123;214;3
11-09-2021;Francisco Beltrão;56;96;1
12-09-2021;Francisco Beltrão;113;188;2
13-09-2021;Francisco Beltrão;145;254;3
14-09-2021;Francisco Beltrão;173;282;4
15-09-2021;Francisco Beltrão;66;123;1
16-09-2021;Francisco Beltrão;98;180;2
